Sample File,mac_profile,total_distinct_alleles,avg_alleles_per_locus,std_alleles_per_locus,num_effective_loci,loci_gt2_alleles,loci_gt3_alleles,loci_gt4_alleles,loci_gt5_alleles,loci_gt6_alleles,allele_count_entropy,avg_peak_height,std_peak_height,cv_peak_height,skewness_peak_height,kurtosis_peak_height,min_peak_height,max_peak_height,peak_height_range,peak_height_entropy,high_peaks_ratio,avg_phr,std_phr,min_phr,median_phr,num_loci_with_phr,imbalance_ratio,inter_locus_entropy,locus_height_cv,avg_locus_allele_entropy,height_size_correlation,height_size_slope,size_range,avg_size,std_size,total_peaks,unique_markers,peaks_per_marker,complexity_score,balance_score,quality_score,NoC_True
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,2,6,1.1666666666666667,0.408248290463863,6,1,0,0,0,0,0.4505612086663046,70.85714285714286,20.883544933262453,0.2947274486549136,0.8787992366139125,-0.8119001902658103,52.0,110.0,58.0,1.4750763110546947,0.2857142857142857,0.5181818181818182,0.0,0.5181818181818182,0.5181818181818182,1,1.0,1.688994955019572,0.5337771577262386,0.6419054139907961,-0.2841958861937915,-0.0901139341613214,203.73000000000002,156.07571428571427,65.8612634595617,7,6,1.1666666666666667,2.3333333333333335,0.24158820008731274,3.237918859729245,2
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,2,7,1.1666666666666667,0.408248290463863,6,1,0,0,0,0,0.4505612086663046,63.857142857142854,19.917175441086535,0.3119020762586258,1.629899580644456,1.2095746797384317,50.0,110.0,60.0,0.9556998911125343,0.42857142857142855,0.4727272727272727,0.0,0.4727272727272727,0.4727272727272727,1,1.0,1.675681718931429,0.5838386151066985,0.6276116831595444,-0.18986147202475884,-0.07715334614703726,126.32000000000001,158.8442857142857,49.012835303518166,7,6,1.1666666666666667,2.3333333333333335,0.19673083649501524,3.0528568752983514,3
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,8,20,3.272727272727273,2.1489955370316194,11,8,6,6,2,1,1.4681399385162086,138.97222222222223,120.58042178265903,0.8676584417700829,2.1756332065452653,3.8382805818380943,51.0,531.0,480.0,1.9195347141363288,0.2222222222222222,0.9463168268046316,0.004902685390490269,0.9414141414141414,0.9463168268046316,2,0.0,2.0753572529037774,0.8020556193647523,1.238320034524568,-0.4114207680274282,-1.2339906846217343,174.32999999999998,155.11055555555558,40.202321101070524,36,11,3.272727272727273,26.181818181818183,0.18731809816655573,1.1430477060743656,5
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,2,9,1.4285714285714286,0.5345224838248488,7,3,0,0,0,0,0.6829081045004717,73.3,36.682557162771516,0.5004441632028857,2.3894171518363203,4.197382595847164,51.0,180.0,129.0,1.4184836619456564,0.2,0.7577276849332816,0.07630788442969427,0.6506024096385542,0.8,3,0.0,1.8569789499116545,0.45394904070802694,0.6819786796108809,-0.2891602122518013,-0.3292923749813926,97.6,140.767,32.21190899341423,10,7,1.4285714285714286,2.857142857142857,0.41375792923990434,1.9451970757551649,5
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,2,12,1.4166666666666667,0.5149286505444373,12,5,0,0,0,0,0.6791932657915256,78.23529411764706,18.48856375220577,0.23631998781014896,0.5076396424276614,-0.8308837859973628,54.0,117.0,63.0,1.9561874676604512,0.23529411764705882,0.8037945306327658,0.1386543529844595,0.5686274509803921,0.8088235294117647,5,0.2,2.4014192514897297,0.43556760349478546,0.6822773277851799,-0.47519171079707284,-0.10930460506259963,236.17000000000002,199.58470588235292,80.37732934088018,17,12,1.4166666666666667,2.8333333333333335,0.45368767322283604,4.014420719371492,3
B01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.5IP-Q0.9_002.5sec.fsa,7,32,4.5,1.5491933384829668,16,16,15,10,8,6,1.5934032312284823,313.0,219.30312608604353,0.7006489651311295,1.439599006179864,1.9961672767553846,55.0,1120.0,1065.0,2.1586831935899107,0.2222222222222222,0.42081447963800905,0.0,0.42081447963800905,0.42081447963800905,1,1.0,2.739575813865404,0.2718394631044534,1.3047198166496583,-0.07574429078153658,-0.23959109277456697,240.01,217.5826388888889,69.33045615009834,72,16,4.5,31.5,0.30642049742663274,1.4207696711382658,4
B01_RD14-0003-44_45-1;1-M2S30-0.25IP-Q3.0_002.5sec.fsa,4,14,2.0,1.0954451150103321,11,6,4,1,0,0,1.2406842915533958,136.5909090909091,79.28811620855187,0.5804787209943897,1.2176963019082934,0.33701328201410874,53.0,335.0,282.0,2.1137191065066494,0.22727272727272727,0.4936878109452736,0.26452114427860696,0.22916666666666666,0.4936878109452736,2,0.5,2.1223620774770233,0.7595683900320152,0.9463568549619419,-0.5330608971490406,-0.9609638946328076,170.26,155.06045454545452,43.98229173379924,22,11,2.0,8.0,0.11869815520714226,1.7012593586840208,2
B01_RD14-0003-44_45-1;1-M3a-0.25IP-Q0.5_002.5sec.fsa,4,24,2.9375,0.7719024117939607,16,16,11,4,0,0,1.0717300938124528,298.74468085106383,128.20353964727195,0.4291408278200827,0.9551730413574794,0.3689442534166574,112.0,645.0,533.0,2.1672285154483717,0.2127659574468085,0.6233883437975195,0.20222256405395853,0.3466666666666667,0.6577540106951871,5,0.4,2.7550051926252226,0.19305901960840127,1.0053487431940076,-0.027940589683746766,-0.05187660908591483,240.24,210.31,69.05005088817512,47,16,2.9375,11.75,0.5030376013086655,2.3122019850744207,2
B02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.5IP-Q3.2_002.5sec.fsa,5,18,2.357142857142857,1.3363062095621219,14,9,6,3,1,0,1.4944032108796121,143.63636363636363,102.86054642582492,0.7161177282810597,2.20305417690706,4.998835432199095,55.0,508.0,453.0,1.9413562454606421,0.21212121212121213,0.7293939009864484,0.22301438831729947,0.42322834645669294,0.8169014084507042,3,0.3333333333333333,2.3580053314540095,0.7619158605900306,1.0130129053648294,-0.46154997093217065,-0.7659702845069837,222.04000000000002,181.0581818181818,61.98057962974911,33,14,2.357142857142857,11.785714285714286,0.173657119207239,1.3829733096864243,4
B02_RD14-0003-44_45-1;1-M2e-0.25IP-Q0.8_002.5sec.fsa,4,24,2.8125,0.75,16,16,10,3,0,0,1.0433534266422906,156.57777777777778,92.30709347700663,0.5895286980507094,1.144847804699125,0.555395201479699,50.0,429.0,379.0,2.227128900239966,0.2,0.640081344526989,0.23699845770342823,0.3135593220338983,0.6306593095642332,6,0.3333333333333333,2.66581034359053,0.48116995246347327,0.9506548651069997,-0.6271292963332821,-0.841635738416151,240.10000000000002,207.1502222222222,68.78092259692328,45,16,2.8125,11.25,0.3320934344081816,1.6780908282858766,2
